Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Species in Australia (Generated 2020-09-29 22:36:16)
Cyathea exilis,,Endangered,Endemic,,QLD,Plantae,Polypodiophyta,Polypodiatae,Cyatheales,Cyatheaceae,
Cycas cairnsiana,a cycad,Vulnerable,Endemic,,QLD,Plantae,Cycadophyta,Cycadatae,Cycadales,Cycadaceae,
Cycas megacarpa,,Endangered,Endemic,,QLD,Plantae,Cycadophyta,Cycadatae,Cycadales,Cycadaceae,
Cycas ophiolitica,,Endangered,Endemic,,QLD,Plantae,Cycadophyta,Cycadatae,Cycadales,Cycadaceae,
Cycas platyphylla,a cycad,Vulnerable,Endemic,,QLD,Plantae,Cycadophyta,Cycadatae,Cycadales,Cycadaceae,
Cycas silvestris,,Vulnerable,Endemic,,QLD,Plantae,Cycadophyta,Cycadatae,Cycadales,Cycadaceae,
Cyclodomorphus praealtus,Alpine She-oak Skink,Endangered,Present,,"NSW, VIC",Animalia,Chordata,Reptilia,Squamata,Scincidae,
Cyclophyllum costatum,a shrub,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,
Cyclopsitta diophthalma coxeni,Coxen's Fig-Parrot,Endangered,Present,,"NSW, QLD",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,
Cynanchum elegans,White-flowered Wax Plant,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Apocynaceae,
Cyperus cephalotes,,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,
Cyperus semifertilis,,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,
Cyphanthera odgersii subsp. occidentalis,"Western Woolly Cyphanthera, Western Cyphanthera",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae,
Cyrtodactylus sadleiri,Christmas Island Giant Gecko,Endangered,Present,,"AET, CI",Animalia,Chordata,Reptilia,Squamata,Gekkonidae,
Daphnandra johnsonii,Illawarra Socketwood,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Laurales,Monimiaceae,
Darwinia acerosa,Fine-leaved Darwinia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Darwinia apiculata,Scarp Darwinia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Darwinia biflora,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Darwinia carnea,"Mogumber Bell, Narrogin Bell",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Darwinia chapmaniana,Chapman's Bell,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Darwinia collina,Yellow Mountain Bell,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Darwinia ferricola,Scott River Darwinia,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Darwinia foetida,Muchea Bell,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Darwinia masonii,Mason's Darwinia,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Darwinia meeboldii,Cranbrook Bell,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Darwinia nubigena,"Success Bell, Red Mountain Bell",Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Darwinia oxylepis,Gillam's Bell,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Darwinia polychroma,Harlequin Bell,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Darwinia squarrosa,"Fringed Mountain Bell, Pink Mountain Bell",Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Darwinia whicherensis,Abba Bell,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Darwinia wittwerorum,Wittwer's Mountain Bell,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Dasymalla axillaris,Native Foxglove,Critically Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Dasyornis brachypterus,Eastern Bristlebird,Endangered,Present,,"NSW, QLD, TER, VIC",Animalia,Chordata,Aves,Passeriformes,Pardalotidae,
Dasyornis broadbenti litoralis,"Rufous Bristlebird (western), South-western Rufous Bristlebird",Extinct,Extinct,,WA,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,
Dasyornis longirostris,Western Bristlebird,Endangered,Endemic,,WA,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,
Dasyuroides byrnei,"Kowari, brushy-tailed marsupial rat, Byrne's crest-tailed marsupial rat ",Vulnerable,Present,,"NT, QLD, SA",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Dasyurus geoffroii,"Chuditch, Western Quoll",Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Dasyurus geoffroii,"Chuditch, Western Quoll",Vulnerable,Present,,"NSW, NT, QLD, SA",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",Endangered,Present,,"NT, QLD, WA",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Dasyurus maculatus gracilis,"Spotted-tailed Quoll (North Queensland), Yarri ",Endangered,Endemic,,QLD,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Dasyurus maculatus maculatus (SE mainland population),"Spot-tailed Quoll, Spotted-tail Quoll, Tiger Quoll (southeastern mainland population)",Endangered,Present,,"ACT, NSW, QLD, SA, TER, VIC",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Dasyurus maculatus maculatus (Tasmanian population),"Spotted-tail Quoll, Spot-tailed Quoll, Tiger Quoll (Tasmanian population)",Vulnerable,Endemic,,TAS,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
